filename,width,height,class,xmin,ymin,xmax,ymax
lancome_le_belleScreenshot 2023-12-16 011452 (5).png,199,222,lancome_la_vie_est_belle,15,14,192,222
lancome_le_belleScreenshot 2023-12-16 011452 (7) - Copy.png,502,800,lancome_la_vie_est_belle,7,23,496,788
lancome_le_belleScreenshot 2023-12-16 011452 (8) - Copy.png,502,800,lancome_la_vie_est_belle,1,37,492,797
lancome_le_belleScreenshot 2023-12-16 011452 (9) - Copy.png,502,800,lancome_la_vie_est_belle,5,31,488,790
lancome_Screenshot 2023-12-16 010053 (17) - Copy.png,150,146,lancome_la_vie_est_belle,49,14,140,135
lancome_Screenshot 2023-12-16 010053 (33).png,287,353,lancome_la_vie_est_belle,7,16,283,353
lancome_Screenshot 2023-12-16 010053 (34) - Copy.png,599,803,lancome_la_vie_est_belle,5,17,598,802
lancome_Screenshot 2023-12-16 010053 (45).png,735,932,lancome_la_vie_est_belle,1,3,728,882
lancome_Screenshot 2023-12-16 010053 (49).png,199,210,lancome_la_vie_est_belle,8,6,196,198
prada_Screenshot 2023-12-16 014505 (13) - Copy.png,324,338,prada_paradoxe,4,37,313,338
prada_Screenshot 2023-12-16 014505 (15).png,97,79,prada_paradoxe,6,2,87,78
prada_Screenshot 2023-12-16 014505 (20).png,117,110,prada_paradoxe,10,8,113,106
prada_Screenshot 2023-12-16 014505 (22).png,222,220,prada_paradoxe,1,1,222,216
prada_Screenshot 2023-12-16 014505 (27).png,84,75,prada_paradoxe,4,8,74,69
prada_Screenshot 2023-12-16 014505 (28).png,187,192,prada_paradoxe,4,10,185,185
prada_Screenshot 2023-12-16 014505 (31) - Copy - Copy.png,88,94,prada_paradoxe,6,10,82,87
prada_Screenshot 2023-12-16 014505 (38).png,119,92,prada_paradoxe,28,8,97,84
prada_Screenshot 2023-12-16 014505 (50).png,520,541,prada_paradoxe,6,11,514,539
prada_Screenshot 2023-12-16 014505 (59).png,335,369,prada_paradoxe,13,50,326,368
prada_Screenshot 2023-12-16 014505 (65).png,239,242,prada_paradoxe,6,13,231,236
prada_Screenshot 2023-12-16 014505 (67).png,105,139,prada_paradoxe,13,19,105,129
prada_Screenshot 2023-12-16 014505 (71).png,209,224,prada_paradoxe,8,43,195,205
prada_Screenshot 2023-12-16 014505 (73).png,274,248,prada_paradoxe,6,15,272,247
Screenshot 2023-12-15 225459.png,82,119,armani_my_way_floral,5,5,79,114
Screenshot 2023-12-15 225938.png,96,152,armani_my_way_floral,9,4,90,145
Screenshot 2023-12-15 230003.png,124,180,armani_my_way_floral,16,6,113,171
Screenshot 2023-12-15 230021.png,417,648,armani_my_way_floral,15,1,406,645
Screenshot 2023-12-15 230426.png,375,655,armani_my_way_floral,1,1,370,650
Screenshot 2023-12-15 230442.png,417,706,armani_my_way_floral,9,13,408,695
Screenshot 2023-12-15 230458.png,370,657,armani_my_way_floral,17,2,345,643
Screenshot 2023-12-15 230458.png,370,657,armani_my_way_floral,1,96,82,652
Screenshot 2023-12-15 230728.png,97,160,armani_my_way_floral,10,11,91,154
Screenshot 2023-12-15 231338.png,82,127,armani_my_way_floral,5,6,77,121
Screenshot 2023-12-15 231553.png,132,176,armani_my_way_floral,24,9,121,166
Screenshot 2023-12-15 232240.png,68,146,armani_my_way_floral,6,19,64,123
Screenshot 2023-12-15 232353.png,109,124,armani_my_way_floral,10,1,83,99
Screenshot 2023-12-15 232353.png,109,124,armani_my_way_floral,2,88,54,124
Screenshot 2023-12-15 232353.png,109,124,armani_my_way_floral,58,107,108,124
Screenshot 2023-12-15 232505.png,86,140,armani_my_way_floral,11,12,79,134
Screenshot 2023-12-15 232607.png,176,307,armani_my_way_floral,11,29,154,284
Screenshot 2023-12-15 232618.png,256,446,armani_my_way_floral,1,24,250,440
Screenshot 2023-12-15 232642.png,260,335,armani_my_way_floral,67,43,220,310
Screenshot 2023-12-15 232652.png,237,320,armani_my_way_floral,8,6,204,301
Screenshot 2023-12-15 232706.png,517,630,armani_my_way_floral,7,22,510,618
Screenshot 2023-12-15 232718.png,107,148,armani_my_way_floral,17,12,94,139
Screenshot 2023-12-15 232746.png,140,232,armani_my_way_floral,5,1,135,229
Screenshot 2023-12-15 233244.png,206,346,armani_my_way_floral,27,36,196,319
Screenshot 2023-12-16 010841.png,157,181,lancome_la_vie_est_belle,25,19,123,159
Screenshot 2023-12-16 012517.png,238,242,prada_paradoxe,5,12,227,237
Screenshot 2023-12-16 012653.png,335,368,prada_paradoxe,12,46,324,365
Screenshot 2023-12-16 022104 - Copy (2).png,86,97,ysl_black_opium,1,5,77,95
Screenshot 2023-12-16 022302 - Copy (10).png,252,347,ysl_black_opium,19,6,245,342
Screenshot 2023-12-16 022302 - Copy (11).png,252,347,ysl_black_opium,11,4,246,341
Screenshot 2023-12-16 022302 - Copy (12).png,252,347,ysl_black_opium,15,6,244,343
Screenshot 2023-12-16 022525 - Copy (4).png,137,231,ysl_black_opium,16,16,107,222
Screenshot 2023-12-16 022525 - Copy (6).png,137,231,ysl_black_opium,20,14,107,224
Screenshot 2023-12-16 024727 - Copy (2).png,131,172,ysl_black_opium,12,6,126,170
Screenshot 2023-12-16 024741.png,175,168,ysl_black_opium,3,1,170,168
Screenshot 2023-12-16 024754.png,127,187,ysl_black_opium,5,24,123,181
Screenshot 2023-12-16 024918 - Copy (3).png,110,136,ysl_black_opium,14,14,96,127
Screenshot 2023-12-16 024918 - Copy (4).png,110,136,ysl_black_opium,15,11,95,127
Screenshot 2023-12-16 025131.png,151,187,ysl_black_opium,19,8,142,183
Screenshot 2023-12-16 025407.png,63,82,ysl_black_opium,7,2,61,80
Screenshot 2023-12-16 025421 - Copy (2).png,180,127,ysl_black_opium,18,5,169,119
Screenshot 2023-12-16 025536.png,176,207,ysl_black_opium,23,18,175,202
Screenshot 2023-12-16 025744.png,143,172,ysl_black_opium,16,7,123,163
